,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len
5376,"frozenset({'Marital_Status = 0', 'Product = P00003442'})",frozenset({'Product = P00000142'}),0.09200475301307079,0.19181802749957563,0.038024104566287555,0.41328413284132837,2.154563563334748,0.020375934322734678,1.377467387091918,2,1
5378,"frozenset({'Marital_Status = 0', 'Product = P00003942'})",frozenset({'Product = P00000142'}),0.07927346800203701,0.19181802749957563,0.030555084026481074,0.3854389721627409,2.0093991017793864,0.01534900376127961,1.3150556834763003,2,1
5379,"frozenset({'Marital_Status = 0', 'Product = P00000142'})",frozenset({'Product = P00003942'}),0.11984382957053132,0.12391784077406214,0.030555084026481074,0.254957507082153,2.057472156467073,0.015704295436006134,1.1758821376682742,2,1
5392,"frozenset({'Marital_Status = 0', 'Product = P00057542'})",frozenset({'Product = P00000142'}),0.07570870819894755,0.19181802749957563,0.03700560176540486,0.4887892376681614,2.5481923885868483,0.022483306694141787,1.580917367259602,2,1
5393,"frozenset({'Marital_Status = 0', 'Product = P00000142'})",frozenset({'Product = P00057542'}),0.11984382957053132,0.12154133423866915,0.03700560176540486,0.3087818696883853,2.540550271416589,0.022439622819130808,1.2708848730071711,2,1
5404,"frozenset({'Marital_Status = 0', 'Product = P00100442'})",frozenset({'Product = P00000142'}),0.07265319979629944,0.19181802749957563,0.03038533355966729,0.4182242990654205,2.1803180051277806,0.01644914008320856,1.3891641936955086,2,1
5405,"frozenset({'Marital_Status = 0', 'Product = P00000142'})",frozenset({'Product = P00100442'}),0.11984382957053132,0.12052283143778646,0.03038533355966729,0.2535410764872521,2.1036767346287353,0.015941415889479334,1.1781990151896067,2,1
5414,"frozenset({'Marital_Status = 0', 'Product = P00161942'})",frozenset({'Product = P00000142'}),0.08063147173654728,0.19181802749957563,0.031573586827363775,0.391578947368421,2.0414084769445737,0.016107016964471494,1.328326771410732,2,1
5416,"frozenset({'Marital_Status = 0', 'Product = P00289942'})",frozenset({'Product = P00000142'}),0.08368698013919539,0.19181802749957563,0.0364963503649635,0.4361054766734279,2.273537489454127,0.02044367890726688,1.4332147929593855,2,1
5417,"frozenset({'Marital_Status = 0', 'Product = P00000142'})",frozenset({'Product = P00289942'}),0.11984382957053132,0.14055338652181293,0.0364963503649635,0.3045325779036827,2.166668377331636,0.019651894265082338,1.2357827069564156,2,1
5420,"frozenset({'Marital_Status = 0', 'Product = P00002142'})",frozenset({'Product = P00145042'}),0.07078594466134781,0.2349346460702767,0.03344084196231539,0.4724220623501199,2.0108658737749683,0.016810771106551454,1.4501466026758845,2,1
5452,"frozenset({'Marital_Status = 0', 'Product = P00003242'})",frozenset({'Product = P00111142'}),0.08708198947547106,0.17042946868103886,0.031573586827363775,0.36257309941520466,2.1274084946762657,0.016732249629371424,1.3014363381242418,2,1
5453,"frozenset({'Marital_Status = 0', 'Product = P00111142'})",frozenset({'Product = P00003242'}),0.10320828382278051,0.1408928874554405,0.031573586827363775,0.305921052631579,2.171302314521243,0.0170322737102516,1.2377656976945313,2,1
5456,"frozenset({'Marital_Status = 0', 'Product = P00114942'})",frozenset({'Product = P00003242'}),0.11831607536920727,0.1408928874554405,0.03361059242912918,0.28407460545193686,2.0162451815871805,0.016940698937966042,1.199995305498112,2,1
5470,"frozenset({'Marital_Status = 0', 'Product = P00270942'})",frozenset({'Product = P00003242'}),0.11560006790018673,0.1408928874554405,0.036666100831777286,0.3171806167400881,2.251218088211878,0.020378873475274995,1.2581762228878388,2,1
5471,"frozenset({'Marital_Status = 0', 'Product = P00003242'})",frozenset({'Product = P00270942'}),0.08708198947547106,0.19368528263452725,0.036666100831777286,0.42105263157894735,2.173901010194197,0.019799601087843746,1.3927254209039983,2,1
5474,"frozenset({'Marital_Status = 0', 'Product = P00034742'})",frozenset({'Product = P00003942'}),0.12442709217450348,0.12391784077406214,0.03089458496010864,0.24829467939972716,2.0037040497860175,0.015475848364048965,1.1654595693513838,2,1
5476,"frozenset({'Marital_Status = 0', 'Product = P00003942'})",frozenset({'Product = P00117442'}),0.07927346800203701,0.20828382278051263,0.03819385503310134,0.4817987152034261,2.3131835625618447,0.021682474072568424,1.5278159287665314,2,1
5477,"frozenset({'Marital_Status = 0', 'Product = P00117442'})",frozenset({'Product = P00003942'}),0.13291461551519268,0.12391784077406214,0.03819385503310134,0.28735632183908044,2.318926153361675,0.021723362871144004,1.229341094397687,2,1
5480,"frozenset({'Marital_Status = 0', 'Product = P00058042'})",frozenset({'Product = P00004742'}),0.1386861313868613,0.10032252588694619,0.030555084026481074,0.22031823745410037,2.1960993855196365,0.01664174102026226,1.1539034479597565,2,1
5496,"frozenset({'Product = P00028842', 'Marital_Status = 0'})",frozenset({'Product = P00005042'}),0.12340858937362077,0.16211169580716348,0.04294686810388729,0.34800550206327374,2.1467020027798385,0.02294089240335973,1.2851156057978739,2,1
5497,"frozenset({'Marital_Status = 0', 'Product = P00005042'})",frozenset({'Product = P00028842'}),0.10049227635375997,0.19894754710575455,0.04294686810388729,0.42736486486486486,2.1481283437874734,0.02295417622023312,1.3988880593315438,2,1
5516,"frozenset({'Marital_Status = 0', 'Product = P00005042'})",frozenset({'Product = P00101842'}),0.10049227635375997,0.1074520454931251,0.030215583092853507,0.3006756756756757,2.7982312881601983,0.01941748244238159,1.276300456686159,2,1
5517,"frozenset({'Marital_Status = 0', 'Product = P00101842'})",frozenset({'Product = P00005042'}),0.07078594466134781,0.16211169580716348,0.030215583092853507,0.4268585131894485,2.6331136138209854,0.018740353564490383,1.4619222713322713,2,1
5520,"frozenset({'Marital_Status = 0', 'Product = P00112442'})",frozenset({'Product = P00005042'}),0.09149550161262944,0.16211169580716348,0.03225258869461891,0.3525046382189239,2.1744553128247968,0.01742009776946849,1.2940452606301973,2,1
5521,"frozenset({'Marital_Status = 0', 'Product = P00005042'})",frozenset({'Product = P00112442'}),0.10049227635375997,0.15379392293328806,0.03225258869461891,0.32094594594594594,2.0868571385955494,0.016797487289678063,1.2461542229440135,2,1
5528,"frozenset({'Marital_Status = 0', 'Product = P00005042'})",frozenset({'Product = P00148642'}),0.10049227635375997,0.20013580037345102,0.040909862502121884,0.4070945945945946,2.034091820828462,0.020797760342712107,1.3490587070624416,2,1
5529,"frozenset({'Marital_Status = 0', 'Product = P00148642'})",frozenset({'Product = P00005042'}),0.11322356136479375,0.16211169580716348,0.040909862502121884,0.3613193403298351,2.228829564275454,0.022554998963948733,1.3119049269873757,2,1
5590,"frozenset({'Marital_Status = 0', 'Product = P00278642'})",frozenset({'Product = P00021742'}),0.123238838906807,0.1293498557121032,0.033780342895942964,0.2741046831955923,2.11909539200162,0.01783941686522035,1.199415568791296,2,1
5750,"frozenset({'Marital_Status = 0', 'Product = P00025442'})",frozenset({'Product = P00111742'}),0.16143269393990833,0.11526056696655916,0.038363605499915125,0.23764458464773922,2.0618030164356873,0.01975678166946227,1.1605340700893823,2,1
5751,"frozenset({'Marital_Status = 0', 'Product = P00111742'})",frozenset({'Product = P00025442'}),0.06976744186046512,0.269224240366661,0.038363605499915125,0.5498783454987834,2.0424548129466165,0.01958051896270622,1.623507228158391,2,1
5880,"frozenset({'Product = P00028842', 'Marital_Status = 0'})",frozenset({'Product = P00101842'}),0.12340858937362077,0.1074520454931251,0.03395009336275675,0.27510316368638243,2.5602412911160806,0.020689588003140053,1.2312758309800722,2,1
5881,"frozenset({'Marital_Status = 0', 'Product = P00101842'})",frozenset({'Product = P00028842'}),0.07078594466134781,0.19894754710575455,0.03395009336275675,0.4796163069544365,2.410767631628486,0.019867403302817922,1.5393496445018453,2,1
5890,"frozenset({'Product = P00028842', 'Marital_Status = 0'})",frozenset({'Product = P00112442'}),0.12340858937362077,0.15379392293328806,0.0427771176370735,0.3466299862448418,2.2538600981990764,0.023797626553641076,1.2951406695315781,2,1
5891,"frozenset({'Marital_Status = 0', 'Product = P00112442'})",frozenset({'Product = P00028842'}),0.09149550161262944,0.19894754710575455,0.0427771176370735,0.4675324675324675,2.350028810779664,0.024574312020030267,1.5044155822648022,2,1
5898,"frozenset({'Product = P00030842', 'Marital_Status = 0'})",frozenset({'Product = P00046742'}),0.06111016805296215,0.24053641147513155,0.030724834493294856,0.5027777777777778,2.090235630831961,0.016025613965193114,1.5274128037371655,2,1
5899,"frozenset({'Marital_Status = 0', 'Product = P00046742'})",frozenset({'Product = P00030842'}),0.14564590052622645,0.09947377355287727,0.030724834493294856,0.21095571095571095,2.120716882662275,0.016236887165444115,1.1412873002830597,2,1
5902,"frozenset({'Product = P00057642', 'Marital_Status = 0'})",frozenset({'Product = P00030842'}),0.14581565099304022,0.09947377355287727,0.03004583262603972,0.20605355064027941,2.0714359502079964,0.015540999578692654,1.1342405110235754,2,1
5903,"frozenset({'Product = P00030842', 'Marital_Status = 0'})",frozenset({'Product = P00057642'}),0.06111016805296215,0.24274316754371075,0.03004583262603972,0.49166666666666664,2.0254603729603726,0.01521175686373521,1.4896855720451594,2,1
5906,"frozenset({'Product = P00030842', 'Marital_Status = 0'})",frozenset({'Product = P00145042'}),0.06111016805296215,0.2349346460702767,0.031064335426922423,0.5083333333333333,2.1637223025048167,0.01670743972410463,1.5560651266367254,2,1
5907,"frozenset({'Marital_Status = 0', 'Product = P00145042'})",frozenset({'Product = P00030842'}),0.1463249023934816,0.09947377355287727,0.031064335426922423,0.21229698375870068,2.1342005653967675,0.016508845221086366,1.1432306438842708,2,1
5910,"frozenset({'Product = P00030842', 'Marital_Status = 0'})",frozenset({'Product = P00237542'}),0.06111016805296215,0.23323714140213886,0.03361059242912918,0.5499999999999999,2.3581149927219793,0.01935743152185198,1.7039174635508023,2,1
