,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'Product = P00000142'}),frozenset({'Product = P00035542'}),0.19181802749957563,0.10032252588694619,0.04124936343574945,0.2150442477876106,2.1435290418220205,0.022005694406340315,1.1461505589038905
1,frozenset({'Product = P00035542'}),frozenset({'Product = P00000142'}),0.10032252588694619,0.19181802749957563,0.04124936343574945,0.4111675126903553,2.14352904182202,0.022005694406340315,1.3725159360567551
2,frozenset({'Product = P00000142'}),frozenset({'Product = P00035842'}),0.19181802749957563,0.10711254455949754,0.04192836530300458,0.21858407079646017,2.04069534241196,0.021382248285141365,1.1426532555467357
3,frozenset({'Product = P00035842'}),frozenset({'Product = P00000142'}),0.10711254455949754,0.19181802749957563,0.04192836530300458,0.39144215530903326,2.04069534241196,0.021382248285141365,1.3280281891868952
4,frozenset({'Product = P00000142'}),frozenset({'Product = P00048742'}),0.19181802749957563,0.07485995586487863,0.031064335426922423,0.16194690265486725,2.1633315273011857,0.016704846354216117,1.1039157865603877
5,frozenset({'Product = P00048742'}),frozenset({'Product = P00000142'}),0.07485995586487863,0.19181802749957563,0.031064335426922423,0.4149659863945578,2.1633315273011857,0.016704846354216117,1.3814273250879348
6,frozenset({'Product = P00000142'}),frozenset({'Product = P00057542'}),0.19181802749957563,0.12154133423866915,0.05465965031403836,0.28495575221238933,2.34451722944579,0.03134583132071021,1.2285374904830493
7,frozenset({'Product = P00057542'}),frozenset({'Product = P00000142'}),0.12154133423866915,0.19181802749957563,0.05465965031403836,0.44972067039106145,2.34451722944579,0.03134583132071021,1.4686758688078778
8,frozenset({'Product = P00058242'}),frozenset({'Product = P00000142'}),0.098115769818367,0.19181802749957563,0.04209811576981837,0.42906574394463665,2.236837431484827,0.02327774233665681,1.4155429700158946
9,frozenset({'Product = P00000142'}),frozenset({'Product = P00058242'}),0.19181802749957563,0.098115769818367,0.04209811576981837,0.21946902654867256,2.236837431484827,0.02327774233665681,1.1554752608903007
10,frozenset({'Product = P00000142'}),frozenset({'Product = P00106742'}),0.19181802749957563,0.08114072313698863,0.031913087760991346,0.1663716814159292,2.050409153182508,0.01634883429896501,1.1022409584450137
11,frozenset({'Product = P00106742'}),frozenset({'Product = P00000142'}),0.08114072313698863,0.19181802749957563,0.031913087760991346,0.39330543933054396,2.050409153182508,0.01634883429896501,1.332106837431734
12,frozenset({'Product = P00000142'}),frozenset({'Product = P00119142'}),0.19181802749957563,0.0867424885418435,0.03632659989814972,0.18938053097345134,2.1832499177389466,0.01968782684564876,1.12661679906956
13,frozenset({'Product = P00119142'}),frozenset({'Product = P00000142'}),0.0867424885418435,0.19181802749957563,0.03632659989814972,0.41878669275929553,2.1832499177389466,0.01968782684564876,1.3905083769283397
14,frozenset({'Product = P00121142'}),frozenset({'Product = P00000142'}),0.07418095399762349,0.19181802749957563,0.03004583262603972,0.4050343249427918,2.111555051538041,0.015816588352178824,1.358367392241098
15,frozenset({'Product = P00000142'}),frozenset({'Product = P00121142'}),0.19181802749957563,0.07418095399762349,0.03004583262603972,0.15663716814159293,2.111555051538041,0.015816588352178824,1.0977707470962073
16,frozenset({'Product = P00138542'}),frozenset({'Product = P00000142'}),0.09981327448650484,0.19181802749957563,0.04023086063486674,0.40306122448979587,2.1012687375835286,0.021084875204591666,1.3538774923938732
17,frozenset({'Product = P00000142'}),frozenset({'Product = P00138542'}),0.19181802749957563,0.09981327448650484,0.04023086063486674,0.20973451327433626,2.1012687375835286,0.021084875204591666,1.139094064759518
18,frozenset({'Product = P00000142'}),frozenset({'Product = P00139942'}),0.19181802749957563,0.11118655576302836,0.045153624172466475,0.23539823008849556,2.1171465243531715,0.023826038361530803,1.1624527685043726
19,frozenset({'Product = P00139942'}),frozenset({'Product = P00000142'}),0.11118655576302836,0.19181802749957563,0.045153624172466475,0.4061068702290076,2.1171465243531715,0.023826038361530803,1.3608205449557274
20,frozenset({'Product = P00150542'}),frozenset({'Product = P00000142'}),0.1074520454931251,0.19181802749957563,0.043965370904769985,0.40916271721958924,2.133077493044779,0.02335413148748406,1.367858793028793
21,frozenset({'Product = P00000142'}),frozenset({'Product = P00150542'}),0.19181802749957563,0.1074520454931251,0.043965370904769985,0.2292035398230088,2.133077493044779,0.02335413148748406,1.1579554404050154
22,frozenset({'Product = P00000142'}),frozenset({'Product = P00161442'}),0.19181802749957563,0.08402648107282296,0.03513834663045323,0.1831858407079646,2.1800965406275137,0.019020552773333907,1.1213976992282884
23,frozenset({'Product = P00161442'}),frozenset({'Product = P00000142'}),0.08402648107282296,0.19181802749957563,0.03513834663045323,0.41818181818181815,2.1800965406275137,0.019020552773333907,1.3890627652351044
24,frozenset({'Product = P00000142'}),frozenset({'Product = P00190142'}),0.19181802749957563,0.09573926328297402,0.03989135970123918,0.2079646017699115,2.172197640117994,0.021526843064036558,1.1416923268047368
25,frozenset({'Product = P00190142'}),frozenset({'Product = P00000142'}),0.09573926328297402,0.19181802749957563,0.03989135970123918,0.4166666666666667,2.172197640117994,0.021526843064036558,1.3854548100007276
