User_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1000001,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0
1000002,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1000003,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
1000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000005,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0
1000006,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1
1000007,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1000008,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1000009,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0
1000010,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
1000011,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0
1000012,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
1000013,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1000014,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1000015,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
1000016,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1000017,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0
1000018,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
1000019,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,0
1000020,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1000021,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1000022,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0
1000023,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0
1000024,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1000025,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
